global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
576.7751760331664	n/a	n/a	332669.6036880901	678.2875194773954	n/a	n/a	460073.9590787981	520.2762266311221	n/a	n/a	270687.35199751874	564.541438101334	496.764428225926	n/a	n/a	n/a	n/a	-0.0891890255	-0.1475068433	0.0741146688	0.2780991789	0.0374341046	-0.5977246921	0.308148325	-0.2614997464	0.3389243005	-0.0802830768	-0.0092165608	0.0702672466	-0.158666154	0.0021930474	-0.0662143082	0.0436331578	-0.0052611868	0.2104847214	-0.0433599034	0.0941717699	-0.0832545481	0.0060082206	-0.0603775742	-0.0889042051	0.056034077	-0.1339328066	0.1733819425	-0.0143085385	0.0800417884	-0.1064947132	0.0772181753	-0.0909711665	0.0590388473	-0.1465085069	0.0928282674	-0.0749427644	0.0940889638	-0.0999897292	0.0572445363	-0.149870607	0.0119454175	0.022206185	-0.0467216779	-0.0189946633	0.0974481906	-0.0744432465	0.0143276503	-0.0445197025	0.3327262783	-0.1075875078	0.3007442311	-0.4709564109	0.2764774923	-0.0018414455	0.3273873573	-0.0526500934	0.3053296821	-0.0426192316	0.0420733381	-0.0848891443	0.0404290241	-0.0191304269	0.0967639673	-0.0857621215	0.0813311317	-0.0190511144	0.0133091785	-0.0144015556	0.1487553152	-0.0169849894	-0.1643230008	0.0470104094	-0.0294260841	0.0567476894	-0.0348275974	0.0697144786	-0.0648034051	0.0154571209	0.0139733032	-0.0259718847	0.0641701454	-0.119421695	0.1622497904	-0.0402845845	0.1096507918	-0.2685313038	0.1709539074	-0.2054289667	0.0745047562	-0.0784728814	0.2097020664	0.1779643369	-0.0383581835	-0.0805825551	0.1154637225	0.1154447293	0.1154130763	-0.1134054506100312	n/a	n/a	0.0128607962280642	-0.0191543557470197	n/a	n/a	0.0003668893440833	-0.0694999335310981	n/a	0.004830240760827	n/a	-0.0013451882441322	n/a	1.8095314121514711e-06	n/a	0.0004469425503286	n/a	1.9975764329423318e-07	n/a	-0.0014001998822459	n/a	1.9605597102414324e-06	n/a
574.7927371789918	-1.9824388541745748	3.930063810541001	330386.6907137176	665.5280523561964	-12.759467121199007	162.8040012169585	442927.58847303217	520.0841563831676	-0.1920702479544616	0.0368909801492883	270487.52972079115	560.719338318493	495.9604061889648	1.177192	19.681667	0.0437014486510882	0.0239758474604996	-0.106242218	-0.145650657	0.0620950431	0.1143553042	0.1078284032	-0.1822735896	0.0594240345	-0.0494841968	0.0895692178	0.0406141649	0.0502969056	-0.0641556815	-0.1613455408	0.0168297808	-0.1072666351	-0.074450331	0.0323954212	-0.0077010745	0.0954294519	0.1716287861	-0.0104053187	-0.0074767658	0.0558414552	0.0044776041	-0.0170997736	-0.0584700102	0.1334538041	-0.0250329514	0.0719001457	-0.0756367409	0.0651004981	-0.0473673898	-0.0604849788	-0.0531748268	0.0623801527	-0.0273122592	-0.0698498259	-0.0102291683	-0.0284585256	-0.1205305671	-0.0997094466	-0.0022437133	0.0527188187	-0.1620226851	-0.0590461125	0.0113851068	0.1043920537	0.0056947428	-0.0176309787	-0.0823224136	0.206313588	-0.2055154654	0.0830696478	-0.03807683	0.0760306812	0.1159077844	-0.0417613398	0.0690962343	0.122958856	-0.033448936	0.0485152823	-0.062884442	-0.0622616153	0.0386163924	-0.0063241884	-0.0202933172	0.1259225475	-0.060605218	-0.3293465254	0.0161685889	-0.1642390873	0.0419736411	0.0885479624	0.069587827	-0.0077334251	0.0660637435	-0.0826187814	0.0309018258	-0.0196596034	-0.0417489124	-0.0268937337	-0.0910492048	0.1278973501	-0.0351783821	-0.0614950088	-0.2473697873	0.1568554965	-0.1432786872	0.0672769584	0.1645549566	0.1600917915	0.0695913905	-0.0466085884	-0.1129231169	0.1154130763	0.1152422001	0.1149575937	-0.1134796166961109	-7.416608607969943e-05	5.500608324381386e-09	0.0128776234054962	-0.0042559490420757	0.014898406704944	0.0002219625223459	1.811310224874507e-05	-0.0695708500274676	-7.091649636950526e-05	0.0048401031735443	5.029149457326052e-09	-0.0015937019294975	-0.0002485136853653	2.539885840084054e-06	6.175905181384334e-08	0.0003653092928388	-8.16332574898e-05	1.3345087943438412e-07	6.663988728395988e-09	-0.0016432121266647	-0.0002430122444188	2.700146093217926e-06	5.9054950937462594e-08
573.5749053314639	-1.2178318475279184	1.483114408853263	328988.1720259978	657.067863853305	-8.46018850289147	71.574789504457	431738.1777087453	519.9624459685996	-0.1217104145680423	0.0148134250143247	270360.9452176488	558.8762104306505	499.41815990448	1.384863	23.153753	0.2040226864240077	0.0972287549690337	-0.0974660443	-0.1170400105	-0.0771356288	0.0182320686	-0.112061267	-0.0332733037	-0.1334308743	0.070207379	0.1076634748	0.119957259	0.0061157805	0.1134698079	-0.1398245317	-0.0644690135	-0.1079591439	-0.0155411458	0.2305746435	-0.0809409382	0.0006814492	0.0546879239	0.1173973522	0.0284691818	0.0400362721	-0.191750669	0.0444777689	0.1008823358	0.1568589388	-0.0528832384	-0.038109162	0.2832570218	0.0653161598	0.0856926692	-0.0356893899	0.0912858005	-0.0731364731	-0.0115600371	-0.0341857558	0.0638310294	0.0190460525	-0.0368843893	0.0198265922	0.0638735873	0.0029079195	0.0644268515	0.0652194308	-0.0365437415	0.0609681658	0.0956895873	0.0185475884	0.0969204461	0.0888227907	-0.1825535676	-0.0993522704	-0.0365345942	-0.2711766454	0.2174358858	-0.1010374368	-0.1346857054	0.1917306319	0.0891149709	0.0675421654	0.0784130972	-0.0335448834	-0.0661987941	-0.0978258349	-0.1184897098	-0.0145485417	-0.0643106401	0.1704630488	0.0259654467	-0.161918331	0.1926482836	-0.0305007093	0.1715419223	-0.0717021098	-0.0214138225	-0.29367741	-0.1144896224	-0.2743833348	0.1313751248	-0.0093906811	0.0606591194	0.2379820185	0.0229395648	0.0567117249	0.1509117042	-0.0590349922	0.1825675517	0.1731195908	0.0559665898	-0.1427397655	-0.1993272142	-0.0678574244	0.0084935525	0.1153118061	0.1148374968	0.1140484259	-0.1474755987441369	-0.033995982048026	0.0011557267954097	0.0217490522249416	-0.0077778533317314	-0.0035219042896556	1.240380982549522e-05	6.0495002449925234e-05	-0.1283354877577736	-0.0587646377303059	0.0164699974180256	0.0034532826475741	-0.0007367771457176	0.0008569247837798	5.428405624517736e-07	7.343200850562283e-07	0.0011193077148723	0.0007539984220335	1.25284976057265e-06	5.68513620429008e-07	-0.0021870921679717	-0.000543880041307	4.783372151203152e-06	2.958054993321043e-07
573.6065971749413	0.0316918434773469	0.0010043729429926	329024.52832261537	657.6118585025563	0.5439946492513172	0.2959301784140636	432453.3564431861	520.948303137728	0.9858571691283942	0.9719143579218512	271387.1345420781	560.2265559755906	497.8652944755554	1.196822	20.009855	0.144451547204949	0.0667777846029322	-0.0871577158	-0.0980581136	-0.0828831789	0.0010423171	-0.0107136676	0.1230096955	0.0506085221	0.0218562997	0.1647871239	0.0194377682	-0.0642669371	-0.0066221268	-0.1502121812	0.0507874287	-0.2120874521	0.160034822	0.0265817563	-0.103117879	-0.1241519394	-0.083719804	0.0330166504	-0.2013084154	-0.1020102262	0.0762935231	-0.0860005821	-0.0802284456	0.0796283153	-0.178768096	0.006240213	0.082176762	-0.0778326657	0.0944121643	-0.1149607123	0.0923946737	-0.0644376007	-0.019365648	-0.0354954778	0.0500224382	0.0569308884	-0.012547228	0.0260226968	0.0248448269	0.0684291677	0.0403102542	0.0020056806	-0.0357270027	0.0673504622	0.0828931707	0.0578260316	-0.0912322175	0.1552937697	0.0269285227	-0.0985098384	-0.0468934124	-0.1583663185	-0.0275177842	-0.0153438445	-0.1060561598	-0.1311977764	0.1578651171	-0.0896945746	0.1785304862	0.0145650095	-0.0253639744	0.0944866502	-0.0020781407	0.0321995265	-0.0491818728	-0.0780001052	0.0043059489	-0.1557260853	0.1632933878	-0.0570414231	0.1481816015	-0.007563621	0.0902792502	-0.1872804558	-0.1141781584	-0.1655756358	0.0696904717	0.1203567928	0.0409122139	0.0804040036	0.1848134398	0.0726425536	0.1659241742	-0.0659609761	0.1743875303	-0.070034604	-0.1970321554	-0.1313914824	0.0726900639	-0.0010539428	-0.0770206378	0.1151599564	0.1142313295	0.112689161	-0.1231101349817294	0.0243654637624075	0.0005936758243571	0.0151561053352196	-0.0278502502702622	-0.0200723969385308	0.0004029011188579	0.0007756364401162	-0.0800167167387329	0.0483187710190406	0.0064026749576466	0.0023347036327904	-0.0001351837376314	0.0006015934080861	1.82746429199952e-08	3.6191462865276906e-07	0.00077914490864	-0.0003401628062322	6.07066788659634e-07	1.1571073474383327e-07	-0.0020949500725908	9.214209538090016e-05	4.388815806648198e-06	8.4901657411829e-09
573.929329414753	0.3227322398117849	0.1041560986139314	329394.8751624681	660.3395279529047	2.7276694503484578	7.4401806303642575	436048.292177065	521.611239035187	0.6629358974590787	0.439484004139874	272078.28468782303	560.7332219591655	493.44143273489817	1.210453	20.237761	0.1947273829910634	0.1232766642050924	-0.0769393069	-0.0899273926	-0.0087323904	0.0309802829	-0.016490272	-0.0327953746	-0.0768582304	0.0922245937	0.0353612077	-0.0969100006	-0.0408276244	-0.0927111096	-0.0948504097	0.1088913035	-0.1731125321	-0.0374899624	0.1308392624	-0.2601015294	-0.0687051348	-0.0397195438	0.0464470709	-0.0498698158	0.0215604849	0.0360747558	-0.1540157782	-0.0088289153	-0.1445683957	-0.064211309	0.0504909388	-0.0960712905	-0.0594478204	0.0823217596	0.0979267919	-0.0714952889	-0.0204913903	-0.0906940055	-0.0713396441	0.0978170169	0.0648612633	-0.0122443852	0.0913559528	-0.1306597291	0.0896662783	-0.0909806478	-0.0098690296	0.0050611631	0.0910168155	0.0645259331	-0.1288878484	0.0363374098	0.1187560003	-0.0349041038	-0.0744799048	-0.0987357923	-0.1334810787	-0.1428257254	0.1167136547	0.1034148969	-0.1832039023	-0.0772104147	-0.3005658597	0.0196429972	-0.0681507597	0.060543416	0.1571887345	-0.0754718335	-0.0399867206	0.1004844775	0.0417470353	-0.0171549544	-0.155087018	0.0938053882	0.0640407919	-0.0522216477	-0.0434394826	-0.017866647	-0.0727037968	0.0049894687	0.0049844002	0.0595422639	0.0857553368	-0.0093498758	-0.0718331282	0.2274909246	-0.1518351971	0.0656798118	0.0193116411	0.0645692775	-0.207606701	-0.1191303607	-0.0477777539	0.1277254878	0.1101000708	0.1294711743	0.1149575937	0.1134247617	0.1108851636	-0.1233902657326382	-0.0002801307509087	7.847323760472643e-08	0.015225157677571	0.0713546635804647	0.0992049138507269	0.0098416149321301	0.0050914880146812	-0.0213619978236252	0.0586547189151076	0.0004563349510165	0.0034403760510102	-0.0006963273949235	-0.000561143657292	4.848718409209479e-07	3.148822041191537e-07	0.0006587133429343	-0.0001204315657057	4.339032681596808e-07	1.4503762018326338e-08	-0.0020447729061022	5.017716648860002e-05	4.1810962375296365e-06	2.517748036824685e-09
572.8734655213002	-1.0558638934528517	1.114848561497415	328184.00749838434	658.5396123250325	-1.799915627872224	3.2396962674586622	433674.4210012041	520.5230619752562	-1.0881770599308993	1.184129313759856	270944.2580480964	559.8737099354618	490.4253481020246	1.165964	19.49394	0.1551997846966298	0.0901515162643998	-0.0528092679	-0.0731913932	-0.0177182587	-0.0066137372	-0.0384938423	0.0582405257	0.0287107715	0.0503325531	0.0630066887	0.0713184921	-0.0498774554	0.1079850568	-0.140554285	-0.0216180009	-0.0271207342	0.1082801479	0.0783381739	-0.0026280764	0.0608638519	0.0957693512	-0.0449300082	0.0939515756	0.0041483326	-0.0633873507	0.0891401534	-0.005962057	-0.0464359814	-0.118901178	0.06064254	0.1857415029	-0.2066524901	-0.0526005587	0.0758953547	-0.0506626945	0.1770468913	0.0353168292	0.0577692446	-0.0444141734	0.0468391745	0.048034285	0.0555119178	0.0075090727	-0.0518681038	0.1430065734	0.0043696182	-0.0376148531	0.0409674942	0.083955233	0.1327233188	0.0418728854	0.0296417569	-0.048656796	-0.108542012	-0.0708743695	-0.0399246812	-0.004099791	-0.1141771223	-0.0053577311	-0.0453239791	0.0027425065	-0.0056749931	0.0611570625	-0.0009715989	0.0837565696	0.0745982854	0.0111099943	0.0886807285	0.2214995974	0.1008932922	0.0562645687	-0.1203066549	0.0832133693	-0.1211056576	0.0204669586	-0.0249605613	0.0952692214	-0.0738103984	-0.040017956	-0.0340034518	-0.0128514679	0.0565121076	-0.0782152066	0.1017173145	0.096219409	-0.0311884697	0.0258140509	0.0057136081	-0.0517914754	-0.0442872919	0.0668764091	-0.0320028466	0.1472646229	-0.0348123098	0.0768511934	0.1147048067	0.1124192083	0.108643553	-0.0917250252555703	0.0316652404770678	0.0010026874544705	0.008413480258135	-0.0103218406976708	-0.0816765042781355	0.0066710513510962	0.000106540395388	-0.0282301438705516	-0.0068681460469263	0.000796941022952	4.717143012191072e-05	-0.0008270567401704	-0.0001307293452468	6.840228514612885e-07	1.7090161708683173e-08	0.000566148196484	-9.25651464503e-05	3.205237803820859e-07	8.568306337365485e-09	-0.0015682695199094	0.0004765033861928	2.45946928707686e-06	2.270554770532048e-07
571.7596964370041	-1.1137690842961092	1.2404815731337937	326909.1504697351	657.26236892401	-1.2772434010224742	1.631350705455457	431993.8216036015	519.8549492151263	-0.6681127601298158	0.4463746602482807	270249.1682234616	558.9033518573256	485.1499050085885	1.165601	19.487869	0.1122306843913824	0.054424156632959	-0.0132217164	-0.0691365749	0.0290703687	0.0292141189	-0.0161815508	0.0042783569	-0.0445400113	-0.013671795	-0.0329848137	-0.1010517425	0.0093130839	-0.0439941779	-0.147007388	0.0230592984	0.0037555111	-0.0206863434	0.0271890476	-0.0493960031	0.0431187265	0.1502537529	0.0969890141	-0.0921677091	-0.0506655077	-0.0553896448	-0.012681889	0.0207035725	0.0484413017	-0.020109796	-0.0280455297	0.0649070254	-0.0531286722	-0.1553590704	0.009973184	0.1747457778	-0.0680494771	0.208654454	-0.0570205748	-0.0608636251	-0.1035088159	0.2166732987	-0.0437617309	0.0142122295	-0.0562040338	-0.0603140267	-0.0390811639	-0.0420736009	0.0903206458	0.023110934	-0.0495492835	-0.0470502231	0.0346247905	-0.032541942	-0.057019926	-0.0317711335	0.0326524406	0.016019382	-0.2892870763	0.0743147989	0.1058802747	-0.0237471081	-0.0184166579	0.0403800572	-0.0273241936	0.1379435546	0.053978957	-0.0317364822	0.1249699371	-0.0806948644	-0.0954498032	0.2366210186	-0.0736377536	0.0755508704	0.1123424029	0.0201294444	0.0009645358	0.023703885	-0.0087633851	0.0055515263	0.0041118075	-0.0334781856	-0.0023311145	-0.0633615737	0.0543178206	0.1021101135	-0.1278022745	-0.0668487982	0.0547133487	-0.0578937208	0.0018939938	0.2578125726	0.0054388202	-0.024644438	0.0479001605	0.0668506297	0.1144017065	0.1112164334	0.105973176	-0.0645713417438855	0.0271536835116848	0.0007373225282527	0.0041694581746056	0.0266622254673336	0.0369840661650044	0.0013678211500974	0.0007108742668709	-0.0354609674784498	-0.0072308236078981	0.0012574802145076	5.228481004853792e-05	-0.000599028023754	0.0002280287164163	3.588345732426228e-07	5.199709551051095e-08	0.0007868564059108	0.0002207082094268	6.191430035228618e-07	4.871211370838422e-08	-0.0011997642236167	0.0003685052962927	1.4394341922705826e-06	1.357961533957707e-07
571.0458630029909	-0.7138334340131678	0.5095581715150316	326093.3776528307	654.171451104856	-3.090917819154015	9.553772964763812	427940.28744063305	519.5797219922238	-0.275227222902572	0.075750024226662	269963.08750551654	558.0013626076422	480.7376924732753	1.163751	19.45694	0.0940158691814922	0.0560184260243321	0.0029244155	-0.0791500834	0.0572435441	0.0296664917	-0.0085846426	0.1048791342	-0.0843309721	-0.0285435795	-0.0232919397	0.044376723	0.0233420377	0.1221825554	-0.1122291412	-0.1200433933	0.0589621573	-0.0442671206	-0.0159715428	0.1595057218	-0.0230754052	-0.0070077793	0.0010256239	-0.0114239311	-0.0546397627	0.0403694898	0.1286587357	-0.0888824645	0.0468058408	-0.0130190706	0.0064926855	-0.1540029923	0.005293834	0.0987668036	0.0340579925	-0.1267300727	-0.1379277948	0.1185432952	-0.0019908288	-0.0908675321	0.0261329417	0.0390147893	0.1227617469	0.0238088643	0.0113899894	0.001579559	-0.0064387834	0.0006792637	0.0839125765	0.0198368409	0.1380100347	0.0551231609	-0.153662204	-0.087587728	-0.0218705652	0.142128305	-0.0126887646	-0.0721035378	-0.0915481498	0.0926651913	0.0023062219	-0.1079430079	0.0445349091	0.1180266842	0.1636747214	0.0252222768	-0.1279762722	0.0272631361	-0.0737242808	0.0527240946	-0.0117491742	-0.0622499782	-0.0722309001	0.048464212	-0.0949442177	-0.0811013637	-0.0936338614	-0.0472666712	0.0038558749	0.045266078	0.1187655333	-0.0495136299	0.0045515355	-0.086104694	0.0627785049	-0.0378254281	0.0256272857	-0.0313707391	-0.019767261	-0.0133866518	-0.0515322597	-0.0613312687	0.0996713164	-0.0832919416	0.0303601357	0.1188667006	0.1140484259	0.1098185471	0.1028845713	-0.0644434996323894	0.000127842111496	1.634360547177951e-08	0.0041529646448697	0.0700587435633792	0.0433965180960456	0.0018832577828604	0.0049082275496793	-0.0038520781205093	0.0316088893579405	1.4838505846506464e-05	0.0009991218864425	-0.0006596637551588	-6.063573140479997e-05	4.351562698702092e-07	3.676691922995045e-09	0.0006773272727276	-0.0001095291331832	4.587722343806086e-07	1.1996631015863178e-08	-0.0009922766958845	0.0002074875277321	9.846130411954603e-07	4.3051074164420414e-08
571.6915563868536	0.6456933838626355	0.4169199459639808	326831.235644023	656.4977802201813	2.3263291153252794	5.4118071528100975	430989.3354340255	520.4670336551702	0.8873116629464448	0.7873219872007853	270885.93312181206	558.7469720632229	479.45951105935234	0.955018	15.967102	0.0920357858782308	0.0641147133639358	0.0001080255	-0.0845483649	0.0999827501	0.0329752732	0.0450107649	0.095795317	-0.0059759785	-0.0784683002	-0.0069501554	-0.0833024442	0.0432732573	-0.0410143442	-0.0448953088	0.0112015871	0.0052160375	0.0279124292	-0.0373582986	0.1013275268	-0.0933123557	-0.0396733322	0.0715142682	0.0610113636	0.0820413574	-0.0924727422	0.0023277033	0.0052126183	-0.0145751655	0.0214782595	-0.0867321823	0.0079738986	-0.0133713898	0.0853510689	-0.0286001676	-0.2601264661	0.0571718868	0.0633116703	0.0040588741	0.0846534824	-0.0252368888	-0.0511864505	0.0017079321	-0.0798714693	0.1441035886	-0.0270743813	-0.0631983829	0.0039382272	0.0849633573	-0.0264119228	0.0526575079	-0.1201397399	-0.0740361835	-0.0066017041	0.009992178	0.1625819019	-0.0545540406	-0.0776662026	-0.0005696995	0.0482236781	0.0331246484	-0.0216929596	0.0204133495	-0.0413563403	0.0354178957	0.0299326657	-0.0218959471	-0.0139482121	-0.2055143407	-0.0501622153	-0.1220238823	-0.0251681362	-0.0717634811	0.0236943248	0.0023058529	0.0250666559	-0.0222174156	0.0882894024	0.0704853303	0.0591962205	0.131416316	-0.1263671062	0.0027396601	-0.0953028661	0.0077408368	-0.0678507835	-0.0118524588	-0.0609170444	-0.0866728196	0.003462403	-0.0684382965	-0.0189049408	0.1132619415	-0.0646228026	0.007468463	0.0395858622	0.1136451198	0.1082280018	0.0993899282	-0.0645640968142799	-0.0001205971818904	1.4543680279927652e-08	0.0041685225974437	0.0117483274103591	-0.0583104161530201	0.0034001046319383	0.0001380231969409	-0.0208820578516295	-0.0170299797311202	0.0004360603401188	0.0002900202096423	-0.0004071306357114	0.0002525331194474	1.657553545347687e-07	6.377297641783479e-08	0.0007152111522052	3.788387947760007e-05	5.115269922386898e-07	1.4351883242733276e-09	-0.0010333555532035	-4.107885731900003e-05	1.0678236993365116e-06	1.687472518634762e-09
572.1803863692365	0.4888299823829811	0.2389547516765456	327390.3945456488	655.8953905591778	-0.6023896610034853	0.362873303683894	430198.7633567765	520.3231500685768	-0.1438835865934606	0.0207024864909978	270736.18049728667	559.158880639111	481.9422907175336	0.930827	15.562653	0.0861651973570747	0.0590411032327115	-0.0013943518	-0.0769493836	0.086343127	0.045956017	0.0261118747	0.0324451131	-0.1120639028	-0.0359794863	-0.1126983196	-0.0620518898	0.0875728581	-0.1025056346	-0.0159142318	-0.0180607871	-0.0152182797	-0.0630737858	-0.1075452016	0.062422801	-0.1651113272	-0.1234693067	0.1081694487	0.0104414686	0.1026285565	-0.0167112303	0.081803613	0.0287115603	-0.0716386913	0.0795956363	-0.0949208103	-0.0911919831	-0.0991997185	-0.0329588679	0.0026046223	0.0974701325	0.0685057126	0.0427812812	0.0421636339	-0.1228108458	-0.0855964157	0.027976521	0.0347551589	-0.0416518676	-0.0196612184	-0.0839478054	-0.0918862008	0.0121016807	0.0833003016	-0.0729000272	-0.058775392	-0.0605327312	-0.0587497015	0.0022428386	0.0843588586	0.20972005	-0.1301968132	-0.0731221049	-0.0369760724	-0.0444621719	0.0678724975	0.1677337916	0.1493297744	-0.1012207736	-0.0151876627	-0.1787534001	0.0661026405	0.0080115533	-0.1302747484	-0.0137468729	-0.0611589823	-0.1727737368	-0.0607599232	0.0453605531	0.0773558551	-0.0200469218	-0.071588179	-0.0649883241	0.0373932128	0.0490783023	0.1060720817	-0.1120254439	-0.0085590939	-0.0179234241	0.0183185344	-0.0733804682	0.0591089771	0.0013593662	-0.0250850925	0.1490210413	-0.0426296961	0.0006029972	0.0704170403	-0.1930753406	0.1503156647	0.008075965	0.1131919653	0.1064475877	0.0955030384	-0.0545226400642064	0.0100414567500734	0.0001008308536635	0.002972718279571	0.0645567947041172	0.0528084672937581	0.0027887342179159	0.0041675797424695	-0.0206160679433864	0.0002659899082431	0.0004250222574463	7.075063128717275e-08	-0.0007631763032205	-0.0003560456675091	5.824380697973086e-07	1.267685173520006e-07	0.0006568771059489	-5.833404625630006e-05	4.314875323198024e-07	3.402860952632155e-09	-0.0009867495988689	4.660595433459997e-05	9.736747708679352e-07	2.1721149794388172e-09
